1494.60,36.84
1255.47,41.89
1377.32,59.90
1408.20,53.16
1760.54,39.30
1346.54,40.55
1145.47,59.18
1909.18,46.80
1313.59,56.65
1674.57,41.73
1507.18,45.72
1928.00,47.14
1668.34,31.57
1327.06,31.69
1179.83,57.78
1938.02,51.42
1732.69,43.85
1931.33,42.19
1683.21,49.50
1598.77,36.66
1682.36,56.34
1796.72,42.96
1917.88,53.46
1725.75,33.75
1916.31,41.63
1294.93,48.50
1467.85,37.66
1839.00,35.36
1227.11,49.80
1479.12,32.20
1138.96,33.37
1477.78,46.21
1958.07,47.51
1526.66,57.67
1919.26,37.56
1682.63,58.93
1226.96,51.48
1797.76,58.10
1853.72,42.65
1005.44,31.05
1013.91,47.67
1382.99,33.44
1864.45,54.65
1737.49,55.21
1401.53,52.46
1559.63,48.40
1298.10,48.07
1425.68,46.16
1486.73,45.00
1917.46,37.89
1049.70,43.88
1408.22,44.61
1070.52,47.46
1987.02,36.27
1212.38,58.83
1706.95,47.79
1380.85,49.16
1502.43,32.69
1297.17,54.84
1175.46,57.13
1588.31,30.50
1370.02,31.26
1127.28,35.38
1166.46,56.51
1905.95,37.06
1407.26,44.13
1830.23,38.76
1173.83,43.74
1902.43,47.85
1412.61,42.17
1308.48,39.54
1415.09,49.15
1795.27,31.11
1734.54,53.18
1244.42,59.55
1675.01,56.78
1243.05,31.55
1709.74,58.72
1022.84,57.39
1728.27,58.66
1273.14,35.12
1322.60,38.32
1490.60,33.92
1738.18,34.21
1570.65,46.00
1233.52,44.31
1464.74,54.18
1018.59,51.38
1250.99,49.82
1636.45,31.71
1718.91,40.20
1549.64,52.33
1178.51,37.52
1133.88,34.52
1939.03,59.14
1142.56,35.88
1100.40,32.45
1768.38,36.31
1462.18,32.52
1331.50,59.65
1900.27,55.96
1384.26,51.02
1037.13,45.04
1113.89,52.01
1436.82,39.81
1751.50,37.89
1485.11,30.20
1005.27,47.03
1352.97,41.25
1365.10,39.27
1170.90,59.37
1775.07,59.16
1525.46,37.15
1485.14,47.68
1500.48,42.89
1250.85,31.72
1643.37,37.54
1191.51,45.32
1380.73,57.51
1052.23,41.33
1497.72,47.38
1807.55,56.78
1472.15,32.96
1727.45,44.67
1702.45,40.72
1193.76,40.13
1546.51,58.77
1915.96,51.20
1865.74,36.85
1801.68,52.17
1194.68,34.42
1367.28,40.51
1110.83,35.10
1657.91,58.40
1255.47,33.28
1785.07,44.66
1612.02,56.95
1391.17,33.25
1316.68,30.61
1593.22,47.54
1690.95,50.11
1235.24,47.57
1197.12,49.63
1648.50,36.03
1023.47,53.38
1013.17,49.17
1755.07,49.27
1851.72,48.95
1303.37,42.41
1167.98,54.23
1435.93,41.87
1566.77,53.30
1944.34,39.83
1231.39,51.24
1853.03,30.72
1248.47,41.79
1225.30,43.65
1832.50,48.41
1101.83,42.33
1906.79,37.78
1139.50,37.19
1904.85,40.08
1161.45,38.98
1567.39,43.03
1612.93,46.37
1703.72,54.49
1865.61,37.99
1853.85,38.09
1268.72,57.42
1464.85,48.16
1324.06,55.63
1982.30,53.77
1347.45,35.84
1805.80,36.62
1732.79,53.74
1054.62,37.17
1293.79,34.70
1566.53,40.77
1321.63,56.03
1306.25,45.17
1065.17,31.52
1593.52,36.40
1331.65,36.19
1310.19,58.46
1842.72,50.86
1588.69,55.21
1517.86,56.08
1720.35,35.44
1736.30,49.54
1445.62,40.48
1671.95,37.59
1347.59,41.69
1703.92,45.48
1925.48,57.67
1350.72,47.58
1948.23,47.63
1815.68,34.11
1527.64,51.39
1702.43,35.64
1066.48,56.73
